,budget,company,country,director,genre,gross,name,rating,released,runtime,score,star,votes,writer,year
0,8000000,Columbia Pictures Corporation,USA,Rob Reiner,Adventure,52287414,Stand by Me,R,22-08-1986,89.0,8.1,Wil Wheaton,299174.0,Stephen King,1986.0
1,6000000,Paramount Pictures,USA,John Hughes,Comedy,70136369,Ferris Bueller's Day Off,PG-13,11-06-1986,103.0,7.8,Matthew Broderick,264740.0,John Hughes,1986.0
2,15000000,Paramount Pictures,USA,Tony Scott,Action,179800601,Top Gun,PG,16-05-1986,110.0,6.9,Tom Cruise,236909.0,Jim Cash,1986.0
3,18500000,Twentieth Century Fox Film Corporation,USA,James Cameron,Action,85160248,Aliens,R,18-07-1986,137.0,8.4,Sigourney Weaver,540152.0,James Cameron,1986.0
4,9000000,Walt Disney Pictures,USA,Randal Kleiser,Adventure,18564613,Flight of the Navigator,PG,01-08-1986,90.0,6.9,Joey Cramer,36636.0,Mark H. Baker,1986.0
5,6000000,Hemdale,UK,Oliver Stone,Drama,138530565,Platoon,R,06-02-1987,120.0,8.1,Charlie Sheen,317585.0,Oliver Stone,1986.0
6,25000000,Henson Associates (HA),UK,Jim Henson,Adventure,12729917,Labyrinth,PG,27-06-1986,101.0,7.4,David Bowie,102879.0,Dennis Lee,1986.0
7,6000000,De Laurentiis Entertainment Group (DEG),USA,David Lynch,Drama,8551228,Blue Velvet,R,23-10-1986,120.0,7.8,Isabella Rossellini,146768.0,David Lynch,1986.0
8,9000000,Paramount Pictures,USA,Howard Deutch,Comedy,40471663,Pretty in Pink,PG-13,28-02-1986,102.0,6.8,Molly Ringwald,60565.0,John Hughes,1986.0
9,15000000,SLM Production Group,USA,David Cronenberg,Drama,40456565,The Fly,R,15-08-1986,96.0,7.5,Jeff Goldblum,129698.0,George Langelaan,1986.0
10,8800000,Rimfire Films,Australia,Peter Faiman,Adventure,174635000,Crocodile Dundee,PG-13,26-09-1986,97.0,6.5,Paul Hogan,79465.0,Ken Shadie,1986.0
11,16000000,Thorn EMI Screen Entertainment,UK,Russell Mulcahy,Action,5900000,Highlander,R,07-03-1986,116.0,7.2,Christopher Lambert,104860.0,Gregory Widen,1986.0
12,6000000,Twentieth Century Fox Film Corporation,USA,David Seltzer,Comedy,8200000,Lucas,PG-13,28-03-1986,100.0,6.8,Corey Haim,12228.0,David Seltzer,1986.0
13,25000000,Twentieth Century Fox Film Corporation,USA,John Carpenter,Action,11100000,Big Trouble in Little China,PG-13,02-07-1986,99.0,7.3,Kurt Russell,101678.0,Gary Goldman,1986.0
14,15000000,De Laurentiis Entertainment Group (DEG),USA,Michael Mann,Crime,8620929,Manhunter,R,15-08-1986,120.0,7.2,William Petersen,54000.0,Thomas Harris,1986.0
15,17000000,Producers Sales Organization (PSO),USA,Adrian Lyne,Drama,6734844,9½ Weeks,R,21-02-1986,117.0,5.9,Mickey Rourke,31798.0,Elizabeth McNeill,1986.0
16,10000000,De Laurentiis Entertainment Group (DEG),USA,Stephen King,Action,7433663,Maximum Overdrive,R,25-07-1986,98.0,5.4,Emilio Estevez,24881.0,Stephen King,1986.0
17,25000000,"Geffen Company, The",USA,Frank Oz,Comedy,38747385,Little Shop of Horrors,PG-13,19-12-1986,94.0,6.9,Rick Moranis,53327.0,Howard Ashman,1986.0
18,2700000,New Century Entertainment Corporation,USA,Mike Marvin,Action,3500000,The Wraith,PG-13,21-11-1986,93.0,5.9,Charlie Sheen,25828.5,Mike Marvin,1986.0
19,35000000,Universal Pictures,USA,Willard Huyck,Action,16295774,Howard the Duck,PG,01-08-1986,102.0,4.6,Lea Thompson,36020.0,Steve Gerber,1986.0
20,2000000,New Line Cinema,USA,Stephen Herek,Action,13167232,Critters,PG-13,11-04-1986,82.0,6.0,Dee Wallace,25517.0,Domonic Muir,1986.0
21,11000000,Orion Pictures,USA,Alan Metter,Comedy,91258000,Back to School,PG-13,13-06-1986,96.0,6.6,Rodney Dangerfield,23120.0,Rodney Dangerfield,1986.0
22,4700000,Cannon Films,USA,Tobe Hooper,Comedy,8025872,The Texas Chainsaw Massacre 2,UNRATED,22-08-1986,89.0,5.6,Dennis Hopper,21253.0,L.M. Kit Carson,1986.0
23,15000000,Jay Weston Productions,USA,Clint Eastwood,Action,42724017,Heartbreak Ridge,R,05-12-1986,102.0,6.8,Clint Eastwood,32954.0,James Carabatsos,1986.0
24,25000000,Paramount Pictures,USA,Leonard Nimoy,Adventure,109713132,Star Trek IV: The Voyage Home,PG,26-11-1986,119.0,7.3,William Shatner,66366.0,Gene Roddenberry,1986.0
25,0,TriStar Pictures,USA,John Badham,Comedy,40697761,Short Circuit,PG,09-05-1986,98.0,6.6,Ally Sheedy,47068.0,S.S. Wilson,1986.0
26,0,Neue Constantin Film,Italy,Jean-Jacques Annaud,Crime,7153487,The Name of the Rose,R,24-09-1986,130.0,7.8,Sean Connery,86991.0,Umberto Eco,1986.0
27,0,TriStar Pictures,USA,Sidney J. Furie,Action,24159872,Iron Eagle,PG-13,17-01-1986,117.0,5.3,Louis Gossett Jr.,11304.0,Kevin Alyn Elders,1986.0
28,25000000,Paramount Pictures,USA,Michael Ritchie,Action,79817937,The Golden Child,PG-13,12-12-1986,94.0,5.9,Eddie Murphy,42997.0,Dennis Feldman,1986.0
29,1900000,Hemdale,USA,Tim Hunter,Crime,4600000,River's Edge,R,08-05-1987,99.0,7.1,Crispin Glover,12862.0,Neal Jimenez,1986.0
30,25000000,L.A. Films,USA,John Landis,Comedy,39246734,¡Three Amigos!,PG,12-12-1986,104.0,6.4,Steve Martin,57406.0,Steve Martin,1986.0
31,25000000,Warner Bros.,USA,George P. Cosmatos,Action,49042224,Cobra,R,23-05-1986,87.0,5.7,Sylvester Stallone,54851.0,Paula Gosling,1986.0
32,0,Gaumont,France,Jean-Jacques Beineix,Drama,2003822,Betty Blue,Not specified,07-11-1986,120.0,7.4,Jean-Hugues Anglade,14562.0,Philippe Djian,1986.0
33,24500000,Warner Bros.,UK,Roland Joffé,Adventure,17218023,The Mission,PG,31-10-1986,125.0,7.5,Robert De Niro,47497.0,Robert Bolt,1986.0
34,13800000,Touchstone Pictures,USA,Martin Scorsese,Drama,52293982,The Color of Money,R,17-10-1986,119.0,7.0,Paul Newman,62495.0,Walter Tevis,1986.0
35,0,Columbia Pictures Corporation,USA,John G. Avildsen,Action,115103979,The Karate Kid Part II,PG,20-06-1986,113.0,5.9,Pat Morita,58370.0,Robert Mark Kamen,1986.0
36,0,Lorimar Productions,USA,Nick Castle,Drama,7177431,The Boy Who Could Fly,PG,26-09-1986,114.0,6.5,Lucy Deakins,4623.0,Nick Castle,1986.0
37,6000000,HBO Films,USA,Robert Harmon,Thriller,5844868,The Hitcher,R,21-02-1986,97.0,7.3,Rutger Hauer,36191.0,Eric Red,1986.0
38,10000000,Amblin Entertainment,USA,Richard Benjamin,Comedy,37499651,The Money Pit,R,26-03-1986,91.0,6.3,Tom Hanks,41278.0,David Giler,1986.0
39,3000000,Paramount Pictures,USA,Tom McLoughlin,Horror,19472057,Jason Lives: Friday the 13th Part VI,R,01-08-1986,86.0,5.9,Thom Mathews,28310.0,Tom McLoughlin,1986.0
40,25000000,The Saul Zaentz Company,USA,Peter Weir,Adventure,14302779,The Mosquito Coast,PG,26-11-1986,117.0,6.6,Harrison Ford,23076.0,Paul Theroux,1986.0
41,0,Universal Pictures,USA,Don Bluth,Animation,47483002,An American Tail,G,21-11-1986,80.0,6.9,Dom DeLuise,41004.0,Judy Freudberg,1986.0
42,4000000,Initial Pictures,UK,Alex Cox,Biography,2826523,Sid and Nancy,R,07-11-1986,112.0,7.1,Gary Oldman,25032.0,Alex Cox,1986.0
43,10000000,De Laurentiis Entertainment Group (DEG),USA,John Guillermin,Action,4711220,King Kong Lives,PG-13,19-12-1986,105.0,3.8,Brian Kerwin,4401.0,Ronald Shusett,1986.0
44,4500000,Empire Pictures,USA,Stuart Gordon,Horror,1261000,From Beyond,R,24-10-1986,86.0,6.7,Jeffrey Combs,16636.0,H.P. Lovecraft,1986.0
45,18000000,TriStar Pictures,USA,Francis Ford Coppola,Comedy,41382841,Peggy Sue Got Married,PG-13,10-10-1986,103.0,6.3,Kathleen Turner,28529.0,Jerry Leichtling,1986.0
46,19000000,Freddie Fields Productions,USA,Brian Gibson,Horror,40996665,Poltergeist II: The Other Side,PG-13,23-05-1986,91.0,5.7,JoBeth Williams,20669.0,Mark Victor,1986.0
47,1100000,Empire Pictures,USA,John Carl Buechler,Comedy,5450815,Troll,PG-13,17-01-1986,82.0,4.3,Michael Moriarty,7569.0,Ed Naha,1986.0
48,0,Metro-Goldwyn-Mayer (MGM),USA,Peter Hyams,Action,38500726,Running Scared,R,27-06-1986,107.0,6.5,Gregory Hines,9344.0,Gary DeVore,1986.0
49,0,Hawn / Sylbert Movie Company,USA,Michael Ritchie,Comedy,26285544,Wildcats,R,14-02-1986,106.0,5.9,Goldie Hawn,10239.0,Ezra Sacks,1986.0
50,111000,Maljack Productions,USA,John McNaughton,Biography,609939,Henry: Portrait of a Serial Killer,UNRATED,07-09-1990,83.0,7.0,Michael Rooker,25367.0,Richard Fire,1986.0
51,18000000,ABC Motion Pictures,USA,Harry Winer,Adventure,9697739,SpaceCamp,PG,06-06-1986,107.0,5.6,Kate Capshaw,11484.0,Clifford Green,1986.0
52,6400000,Orion Pictures,USA,Woody Allen,Comedy,40084041,Hannah and Her Sisters,PG-13,14-03-1986,107.0,8.0,Mia Farrow,56988.0,Woody Allen,1986.0
53,14000000,Walt Disney Pictures,USA,Ron Clements,Animation,38600000,The Great Mouse Detective,G,02-07-1986,74.0,7.2,Vincent Price,36539.0,Peter Young,1986.0
54,8500000,De Laurentiis Entertainment Group (DEG),USA,John Irvin,Action,16209459,Raw Deal,R,06-06-1986,106.0,5.5,Arnold Schwarzenegger,24851.0,Luciano Vincenzoni,1986.0
55,6000000,Sunbow Productions,USA,Nelson Shin,Animation,5849647,The Transformers: The Movie,PG,08-08-1986,84.0,7.3,Orson Welles,33609.0,Ron Friedman,1986.0
56,0,TaliaFilm II Productions,USA,Hal Needham,Drama,2015882,Rad,PG,28-03-1986,91.0,7.2,Bart Conner,4039.0,Sam Bernard,1986.0
57,5000000,TriStar Pictures,USA,Fred Dekker,Comedy,591366,Night of the Creeps,R,22-08-1986,88.0,6.8,Jason Lively,16077.0,Fred Dekker,1986.0
58,12000000,Cannon Pictures,USA,Tobe Hooper,Horror,4884663,Invaders from Mars,PG,06-06-1986,100.0,5.5,Karen Black,5878.0,Richard Blake,1986.0
59,0,Columbia Pictures Corporation,USA,Walter Hill,Drama,5839031,Crossroads,R,14-03-1986,99.0,7.1,Ralph Macchio,11415.0,John Fusco,1986.0
60,6000000,De Haven Productions,UK,David Anspaugh,Drama,28607524,Hoosiers,PG,27-02-1987,114.0,7.6,Gene Hackman,36604.0,Angelo Pizzo,1986.0
61,0,Svenska Filminstitutet (SFI),Sweden,Andrei Tarkovsky,Drama,300653,Sacrifice,PG,1986-11,149.0,8.1,Erland Josephson,16571.0,Andrei Tarkovsky,1986.0
62,6500000,Cinema '85,USA,James Foley,Crime,2347000,At Close Range,R,18-04-1986,111.0,7.0,Sean Penn,11607.0,Elliott Lewitt,1986.0
63,0,Blueline Productions,USA,Peter Markle,Drama,15448384,Youngblood,R,31-01-1986,110.0,6.1,Rob Lowe,10412.0,Peter Markle,1986.0
64,0,Seasonal Film Corporation,USA,Corey Yuen,Action,4662137,"No Retreat, No Surrender",PG,02-05-1986,85.0,5.6,Kurt McKinney,12803.0,See-Yuen Ng,1986.0
65,0,Universal Pictures,USA,Anthony Perkins,Horror,14481606,Psicosis III,R,02-07-1986,93.0,5.3,Anthony Perkins,10022.0,Charles Edward Pogue,1986.0
66,20000000,Paramount Pictures,USA,Mike Nichols,Comedy,25314289,Heartburn,R,25-07-1986,108.0,6.1,Meryl Streep,7570.0,Nora Ephron,1986.0
67,15000000,Warner Bros.,USA,Michael Chapman,Adventure,1953732,The Clan of the Cave Bear,R,17-01-1986,98.0,5.3,Daryl Hannah,5340.0,Jean M. Auel,1986.0
68,12000000,Golan-Globus Productions,USA,Menahem Golan,Action,17768900,The Delta Force,R,14-02-1986,125.0,5.6,Chuck Norris,15819.0,James Bruner,1986.0
69,0,Warner Bros.,USA,Wes Craven,Drama,8988731,Deadly Friend,R,10-10-1986,91.0,5.5,Matthew Labyorteaux,5419.0,Diana Henstell,1986.0
70,0,TriStar Pictures,USA,Edward Zwick,Comedy,38702310,About Last Night...,R,02-07-1986,113.0,6.2,Rob Lowe,12307.0,David Mamet,1986.0
71,0,Balcor Film Investors,USA,Steve Miner,Comedy,27820000,Soul Man,PG-13,24-10-1986,104.0,5.2,C. Thomas Howell,6440.0,Carol Black,1986.0
72,0,A&M; Films,USA,Savage Steve Holland,Comedy,13431806,One Crazy Summer,PG,08-08-1986,93.0,6.4,John Cusack,11581.0,Savage Steve Holland,1986.0
73,0,De Laurentiis Entertainment Group (DEG),USA,Charles Martin Smith,Comedy,6797218,Trick or Treat,R,24-10-1986,98.0,5.8,Marc Price,4585.0,Rhet Topham,1986.0
74,18000000,Paramount Pictures,USA,Ron Howard,Comedy,36611610,Gung Ho,PG-13,14-03-1986,112.0,6.2,Michael Keaton,9965.0,Edwin Blum,1986.0
75,0,American Filmworks,USA,Sidney Lumet,Crime,25147055,The Morning After,R,25-12-1986,103.0,6.0,Jane Fonda,4943.0,James Cresson,1986.0
76,0,Police Academy Productions,USA,Jerry Paris,Comedy,43579163,Police Academy 3: Back in Training,PG,21-03-1986,83.0,5.2,Steve Guttenberg,35443.0,Neal Israel,1986.0
77,175000,40 Acres & A Mule Filmworks,USA,Spike Lee,Comedy,7137502,She's Gotta Have It,R,08-08-1986,84.0,6.6,Tracy Camilla Johns,5257.0,Spike Lee,1986.0
78,0,Touchstone Pictures,USA,Jim Abrahams,Comedy,71624879,Ruthless People,R,27-06-1986,93.0,6.9,Bette Midler,22554.0,Dale Launer,1986.0
79,8700000,Delphi V Productions,USA,Paul Michael Glaser,Action,4865912,Band of the Hand,R,11-04-1986,109.0,6.3,Stephen Lang,2297.0,Leo Garen,1986.0
80,0,Cannon Group,USA,John Frankenheimer,Crime,5186646,52 Pick-Up,R,07-11-1986,110.0,6.4,Roy Scheider,3866.0,Elmore Leonard,1986.0
81,0,Paramount Pictures,USA,Randa Haines,Drama,31853080,Children of a Lesser God,R,31-10-1986,119.0,7.2,William Hurt,12538.0,Mark Medoff,1986.0
82,12000000,Columbia Pictures Corporation,USA,Mark L. Lester,Action,15945534,Armed and Dangerous,PG-13,15-08-1986,88.0,5.6,John Candy,9040.0,Brian Grazer,1986.0
83,1100000,Black Snake,USA,Jim Jarmusch,Comedy,1436000,Down by Law,R,30-10-1986,107.0,7.8,Tom Waits,39456.0,Jim Jarmusch,1986.0
84,10000000,Orion Pictures,USA,Robert Mandel,Action,20603715,F/X,R,07-02-1986,109.0,6.7,Bryan Brown,14502.0,Robert T. Megginson,1986.0
85,0,Fuji Television Network,Japan,Masanori Hata,Adventure,13245219,The Adventures of Milo and Otis,G,25-08-1989,90.0,7.1,Kyôko Koizumi,9178.0,Masanori Hata,1986.0
86,0,Religioso Primitiva,USA,Jonathan Demme,Comedy,8362969,Something Wild,R,07-11-1986,114.0,6.9,Jeff Daniels,13186.0,E. Max Frye,1986.0
87,18000000,Gladden Entertainment,USA,Marshall Brickman,Sci-Fi,3900000,The Manhattan Project,PG-13,13-06-1986,117.0,6.1,John Lithgow,4666.0,Marshall Brickman,1986.0
88,5000000,Paramount Pictures,USA,Fred Walton,Horror,12947763,April Fool's Day,R,28-03-1986,89.0,6.2,Deborah Foreman,11458.0,Danilo Bach,1986.0
89,25000000,Brooksfilms,USA,Alan Johnson,Action,1579260,Solarbabies,PG-13,26-11-1986,94.0,4.8,Richard Jordan,3397.0,Walon Green,1986.0
90,0,Kings Road Entertainment,USA,Jim McBride,Comedy,17685307,The Big Easy,R,28-08-1987,102.0,6.6,Dennis Quaid,10022.0,Daniel Petrie Jr.,1986.0
91,0,Lawrence Gordon Productions,USA,Penny Marshall,Comedy,25587804,Jumpin' Jack Flash,R,10-10-1986,105.0,5.8,Whoopi Goldberg,15703.0,David Franzoni,1986.0
92,40000000,Carthago Films S.a.r.l.,France,Roman Polanski,Adventure,1641825,Piratas,PG-13,18-07-1986,121.0,6.1,Walter Matthau,6596.0,John Brownjohn,1986.0
93,0,Meltdown Productions,UK,Jimmy T. Murakami,Animation,5274,When the Wind Blows,Not specified,11-03-1988,80.0,7.8,Peggy Ashcroft,7900.0,Raymond Briggs,1986.0
94,10000000,Touchstone Pictures,USA,Jeff Kanew,Comedy,21458229,Tough Guys,PG,03-10-1986,104.0,6.2,Burt Lancaster,5584.0,James Orr,1986.0
95,0,Compañía Iberoamericana de TV,Spain,Pedro Almodóvar,Drama,206952,Matador,NC-17,07-03-1986,110.0,7.0,Assumpta Serna,8959.0,Pedro Almodóvar,1986.0
96,0,New World Pictures,USA,Harley Cokeliss,Action,6637565,Black Moon Rising,R,10-01-1986,100.0,5.4,Tommy Lee Jones,4045.0,John Carpenter,1986.0
97,12000000,Cinema Group Ventures,USA,Roger Spottiswoode,Comedy,7790931,The Best of Times,PG-13,31-01-1986,104.0,5.9,Robin Williams,5523.0,Ron Shelton,1986.0
98,2000000,Paragon Arts International,UK,Kevin Tenney,Horror,7369373,Witchboard,R,13-03-1987,98.0,5.7,Todd Allen,4744.0,Kevin Tenney,1986.0
99,14000000,Touchstone Pictures,USA,Paul Mazursky,Comedy,62134225,Down and Out in Beverly Hills,R,31-01-1986,103.0,6.1,Nick Nolte,13569.0,René Fauchois,1986.0
100,8500000,Capital Equipment Leasing,UK,Trevor Nunn,Biography,277646,Lady Jane,PG-13,07-02-1986,136.0,7.2,Helena Bonham Carter,5364.0,Chris Bryant,1986.0
101,0,Columbia Pictures Corporation,USA,Thomas Michael Donnelly,Crime,7634909,Quicksilver,PG,14-02-1986,105.0,5.6,Kevin Bacon,3720.0,Thomas Michael Donnelly,1986.0
102,0,Sunbow Productions,USA,Mike Joens,Animation,5958456,My Little Pony: The Movie,G,06-06-1986,86.0,6.0,Danny DeVito,2125.0,George Arthur Bloom,1986.0
103,0,Virgin Vision,UK,Ken Russell,Horror,916172,Gothic,R,10-04-1987,87.0,5.7,Gabriel Byrne,5843.0,Lord Byron,1986.0
104,18000000,Producers Sales Organization (PSO),USA,Hal Ashby,Action,1305114,8 Million Ways to Die,R,25-04-1986,115.0,5.7,Jeff Bridges,3607.0,Lawrence Block,1986.0
105,0,TriStar Pictures,USA,Richard Pearce,Crime,12303904,No Mercy,R,19-12-1986,106.0,5.7,Richard Gere,5564.0,James Carabatsos,1986.0
106,0,Orion Pictures,USA,Gene Wilder,Comedy,8033397,Haunted Honeymoon,PG,25-07-1986,82.0,5.6,Gene Wilder,5549.0,Gene Wilder,1986.0
107,0,Empire Pictures,USA,Ted Nicolaou,Comedy,320256,TerrorVision,R,14-02-1986,83.0,5.7,Diane Franklin,4620.0,Ted Nicolaou,1986.0
108,0,Golan-Globus Productions,USA,Gary Nelson,Action,3751699,Allan Quatermain and the Lost City of Gold,PG,30-01-1987,99.0,4.4,Richard Chamberlain,7491.0,H. Rider Haggard,1986.0
109,0,HandMade Films,UK,Neil Jordan,Crime,5794184,Mona Lisa,R,13-06-1986,104.0,7.4,Bob Hoskins,10747.0,Neil Jordan,1986.0
110,0,Delphi Films,USA,Garry Marshall,Comedy,32324557,Nothing in Common,PG,30-07-1986,118.0,5.9,Tom Hanks,5345.0,Rick Podell,1986.0
111,8000000,Cannon Group,USA,J. Lee Thompson,Action,11834302,Firewalker,PG,21-11-1986,104.0,5.0,Chuck Norris,4752.0,Robert Gosnell,1986.0
112,0,Cannon Screen Entertainment,UK,Nicolas Roeg,Adventure,483460,Castaway,R,11-09-1987,117.0,6.0,Oliver Reed,2649.0,Lucy Irvine,1986.0
113,3300000,Amaretto Films,USA,Richard Wenk,Comedy,4941117,Vamp,R,18-07-1986,93.0,5.9,Chris Makepeace,3909.0,Donald P. Borchers,1986.0
114,0,British Film Institute (BFI),UK,Derek Jarman,Biography,3151,Caravaggio,Not specified,29-08-1986,93.0,6.7,Noam Almaz,4072.0,Derek Jarman,1986.0
115,0,Les Films Plain Chant,France,Leos Carax,Crime,21483,Mauvais Sang,UNRATED,26-11-1986,116.0,7.3,Michel Piccoli,4922.0,Leos Carax,1986.0
116,0,Paramount Pictures,USA,Duncan Gibbins,Drama,4636169,Fire with Fire,PG-13,09-05-1986,103.0,6.6,Craig Sheffer,1264.0,Bill Phillips,1986.0
117,15000000,Warner Bros.,USA,Harold Ramis,Comedy,12308521,Club Paradise,PG-13,11-07-1986,96.0,4.9,Robin Williams,5049.0,Harry Shearer,1986.0
118,40000000,Universal Pictures,USA,Ivan Reitman,Comedy,49851591,Legal Eagles,PG,20-06-1986,116.0,5.9,Robert Redford,8374.0,Ivan Reitman,1986.0
119,0,Thorn EMI Screen Entertainment,UK,Christopher Morahan,Comedy,1476356,Clockwise,PG,10-10-1986,96.0,6.6,John Cleese,9689.0,Michael Frayn,1986.0
120,0,Atlantic Entertainment Group,USA,Robert M. Young,Drama,13418091,Extremities,R,22-08-1986,89.0,6.3,Farrah Fawcett,2705.0,William Mastrosimone,1986.0
121,13000000,Metro-Goldwyn-Mayer (MGM),USA,Brian De Palma,Comedy,8475466,Wise Guys,R,18-04-1986,100.0,5.6,Danny DeVito,4573.0,George Gallo,1986.0
122,0,Atlantic Entertainment Group,USA,Peter Medak,Drama,2444076,The Men's Club,R,19-09-1986,101.0,4.5,David Dukes,680.0,Leonard Michaels,1986.0
123,0,DD Productions,Switzerland,Claude Berri,Drama,4940939,Jean de Florette,PG,28-08-1987,120.0,8.1,Yves Montand,20914.0,Claude Berri,1986.0
124,0,Balcor Film Investors,USA,Tom DeSimone,Drama,2510433,Reform School Girls,R,22-08-1986,94.0,5.2,Linda Carol,1717.0,Jack Cummins,1986.0
125,0,DD Productions,Switzerland,Claude Berri,Drama,3940542,Manon of the Spring,PG,04-12-1987,113.0,8.0,Yves Montand,17849.0,Claude Berri,1986.0
126,17000000,HandMade Films,UK,Jim Goddard,Adventure,2315683,Shanghai Surprise,PG-13,29-08-1986,97.0,3.1,Sean Penn,4339.0,John Kohn,1986.0
127,16000000,Lorimar Productions,USA,Sidney Lumet,Drama,3800000,Power,R,31-01-1986,111.0,5.7,Richard Gere,2287.0,David Himmelstein,1986.0
128,0,Not specified,USA,Jerry Kramer,Comedy,604849,Modern Girls,PG-13,07-11-1986,84.0,5.9,Daphne Zuniga,1023.0,Laurie Craig,1986.0
129,20000000,De Laurentiis Entertainment Group (DEG),USA,Bruce Beresford,Comedy,22905500,Crimes of the Heart,PG-13,23-01-1987,105.0,6.4,Diane Keaton,3079.0,Beth Henley,1986.0
130,0,Cinema VII,USA,John McTiernan,Horror,2278264,Nomads,R,07-03-1986,91.0,5.5,Lesley-Anne Down,3006.0,John McTiernan,1986.0
131,0,Empire Pictures,USA,Peter Manoogian,Action,4601256,Eliminators,PG,31-01-1986,96.0,4.5,Andrew Prine,1422.0,Paul De Meo,1986.0
132,0,TMS Pictures,Canada,George Mendeluk,Comedy,2147228,Meatballs III: Summer Job,R,09-01-1987,96.0,3.3,Sally Kellerman,2003.0,Janis Allen,1986.0
133,6000000,Golan-Globus Productions,USA,J. Lee Thompson,Action,9947631,Murphy's Law,R,18-04-1986,100.0,5.9,Charles Bronson,3561.0,Gail Morgan Hickman,1986.0
134,0,Edward R. Pressman Film,USA,David Byrne,Musical,2545142,True Stories,PG,10-10-1986,90.0,7.0,David Byrne,3885.0,Stephen Tobolowsky,1986.0
135,0,Warner Bros.,USA,Prince,Comedy,10090429,Under the Cherry Moon,PG-13,02-07-1986,98.0,4.9,Prince,2549.0,Becky Johnston,1986.0
136,0,Delphi V Productions,Israel,Moshé Mizrahi,Drama,278623,Every Time We Say Goodbye,PG-13,14-11-1986,95.0,5.9,Tom Hanks,1834.0,Moshé Mizrahi,1986.0
137,0,Goldcrest Films International,UK,Julien Temple,Drama,930211,Absolute Beginners,PG-13,18-04-1986,108.0,5.6,Patsy Kensit,2659.0,Colin MacInnes,1986.0
138,0,Little Bear,USA,Bertrand Tavernier,Drama,3272600,Round Midnight,R,03-10-1986,133.0,7.4,Dexter Gordon,4028.0,David Rayfiel,1986.0
139,4000000,"Cannon Group, The",USA,Sam Firstenberg,Action,4679650,Avenging Force,R,12-09-1986,104.0,5.9,Michael Dudikoff,1808.0,James Booth,1986.0
140,0,Simcom Limited,Canada,Paul Lynch,Action,2995527,Bullies,R,29-08-1986,96.0,5.4,Jonathan Crombie,340.0,John Sheppard,1986.0
141,0,Compact Yellowbill,UK,John Hough,Adventure,112132,Biggles: Adventures in Time,PG,29-01-1988,88.0,5.8,Neil Dickson,2243.0,W.E. Johns,1986.0
142,0,Lorimar Productions,USA,Albert Magnoli,Drama,4845724,American Anthem,PG-13,27-06-1986,102.0,4.0,Mitchell Gaylord,1284.0,Evan Archerd,1986.0
143,0,Columbia Pictures Corporation,USA,Richard Tuggle,Action,5099316,Out of Bounds,R,25-07-1986,93.0,5.4,Anthony Michael Hall,1016.0,Tony Kayden,1986.0
144,0,Crown International Pictures,USA,David Beaird,Comedy,4781448,My Chauffeur,R,24-01-1986,97.0,5.6,Deborah Foreman,1426.0,David Beaird,1986.0
145,18000000,Rastar Pictures,USA,Gene Saks,Comedy,11957943,Brighton Beach Memoirs,PG-13,25-12-1986,108.0,6.9,Blythe Danner,2720.0,Neil Simon,1986.0
146,0,Ministère de la Culture et de la Communication,France,Éric Rohmer,Drama,37455,Summer,R,29-08-1986,98.0,7.8,Marie Rivière,4612.0,Marie Rivière,1986.0
147,0,Cannon Group,USA,Paul Nicholas,Drama,3136701,The Naked Cage,R,07-03-1986,97.0,5.5,Shari Shattuck,327.0,Paul Nicholas,1986.0
148,0,Cannon Screen Entertainment,UK,Richard Franklin,Horror,1720450,Link,R,19-09-1986,100.0,5.9,Terence Stamp,2080.0,Lee David Zlotoff,1986.0
149,0,Edward R. Pressman Film,UK,Bob Swaim,Thriller,1131399,Half Moon Street,R,26-09-1986,90.0,5.4,Sigourney Weaver,2157.0,Edward Behr,1986.0
150,0,Aaron Spelling Productions,USA,Tom Moore,Drama,441863,"night, Mother",PG-13,29-01-1987,96.0,7.6,Sissy Spacek,1840.0,Marsha Norman,1986.0
151,0,Blake Edwards,USA,Blake Edwards,Action,6029824,A Fine Mess,PG,08-08-1986,90.0,4.5,Ted Danson,1164.0,Blake Edwards,1986.0
152,0,Chroma III Productions,USA,Mark Griffiths,Comedy,78068,Hardbodies 2,R,12-09-1986,88.0,2.9,James Karen,895.0,Mark Griffiths,1986.0
153,0,Fons Rademakers Produktie,Netherlands,Fons Rademakers,Drama,203781,The Assault,PG,06-02-1986,155.0,7.3,Derek de Lint,2694.0,Gerard Soeteman,1986.0
154,0,Griffon Productions,USA,Paul Schneider,Comedy,277405,Willy/Milly,PG-13,14-11-1986,86.0,5.7,Pamela Adlon,323.0,Alan Friedman,1986.0
155,0,Heron Communications,USA,Janet Greek,Drama,239073,The Ladies Club,R,1986-04,85.0,5.3,Karen Austin,154.0,Casey Bishop,1986.0
156,0,Delphi V Productions,USA,Stuart Rosenberg,Action,140980,Let's Get Harry,R,31-10-1986,102.0,5.2,Michael Schoeffling,978.0,Mark Feldberg,1986.0
157,25000000,De Laurentiis Entertainment Group (DEG),USA,Daryl Duke,Adventure,4007250,Tai-Pan,R,07-11-1986,127.0,5.5,Bryan Brown,1340.0,John Briley,1986.0
158,0,Scary Stuff,USA,Jeffrey Delman,Comedy,2750741,Deadtime Stories,R,28-11-1986,93.0,4.6,Scott Valentine,973.0,Jeffrey Delman,1986.0
