,budget,company,country,director,genre,gross,name,rating,released,runtime,score,star,votes,writer,year
6644,20000000,Black Bear Pictures,USA,Stephen Gaghan,Adventure,7222964,Gold,R,27-01-2017,120.0,6.7,Matthew McConaughey,32147.0,Patrick Massett,2016.0
6645,0,Petit Film,France,Julia Ducournau,Drama,508425,Voraz,R,13-04-2017,99.0,7.0,Garance Marillier,22618.0,Julia Ducournau,2016.0
6646,50000000,Misty Mountains,USA,Shane Black,Comedy,36261763,The Nice Guys,R,20-05-2016,116.0,7.4,Russell Crowe,193151.0,Shane Black,2016.0
6647,43000000,Apaches Entertainment,UK,J.A. Bayona,Drama,3730982,A Monster Calls,PG-13,06-01-2017,108.0,7.5,Lewis MacDougall,49969.0,Patrick Ness,2016.0
6648,0,Moho Film,South Korea,Chan-wook Park,Crime,2005473,The Handmaiden,NOT RATED,01-06-2016,144.0,8.1,Min-hee Kim,43552.0,Sarah Waters,2016.0
6649,60000000,Flashlight Films,USA,Clint Eastwood,Biography,125070033,Sully,PG-13,09-09-2016,96.0,7.5,Tom Hanks,157212.0,Todd Komarnicki,2016.0
6650,20000000,STX Entertainment,USA,Jon Lucas,Comedy,113257297,Bad Moms,R,29-07-2016,100.0,6.2,Mila Kunis,76251.0,Jon Lucas,2016.0
6651,30000000,Quad Productions,France,Eric Summer,Animation,12760985,Leap!,PG,25-08-2017,89.0,6.8,Elle Fanning,9517.0,Eric Summer,2016.0
6652,40000000,Regency Enterprises,USA,Gore Verbinski,Drama,8106986,A Cure for Wellness,R,17-02-2017,146.0,6.4,Dane DeHaan,45187.0,Justin Haythe,2016.0
6653,150000000,Legendary East,USA,Yimou Zhang,Action,45157105,The Great Wall,PG-13,17-02-2017,103.0,6.0,Matt Damon,82181.0,Carlo Bernard,2016.0
6654,40000000,BZ Entertainment,USA,Todd Phillips,Comedy,43017433,War Dogs,R,19-08-2016,114.0,7.1,Jonah Hill,123020.0,Stephen Chin,2016.0
6655,38000000,Twentieth Century Fox Film Corporation,USA,John Hamburg,Comedy,60269575,Why Him?,R,23-12-2016,111.0,6.3,Zoey Deutch,63612.0,John Hamburg,2016.0
